"Window","Covar","Nuisance","Bias","rMSE","meanSE","CP90","CP95"
"small","ind","linear",-0.247695940093807,0.0466869636315728,0.0459044236884323,89.8,93.5
"small","ind","poly",-0.0437636681973747,0.0473484686847593,0.0475770343524858,91.1,94.7
"small","dep","linear",-0.131830951463557,0.0438372051681765,0.0448993994968662,91.2,95.2
"small","dep","poly",-0.754777286474308,0.0531242761556733,0.0531645876890359,89.3,95.3
"large","ind","linear",0.0316701705165788,0.0238816021393046,0.0238381563807873,89.3,94.4
"large","ind","poly",-0.0158136564234439,0.0248979781304564,0.0254090915103961,91.2,95.7
"large","dep","linear",0.108914087032876,0.0232045748550586,0.0235826978958077,90.2,95.8
"large","dep","poly",-0.0218796705838279,0.0265792331665498,0.0275329026296602,91.3,96.2
