"Window","Covar","Nuisance","Bias","rMSE","meanSE","meanSE_star","CP90","CP90_star","CP95","CP95_star"
"small","ind","linear",-0.00382435750144112,0.0627548134520613,0.0559262563609896,0.0609578872135774,0.864,0.887,0.915,0.945
"small","ind","poly",0.000534256198152366,0.0581811659745965,0.0572866201704645,0.0628238543569235,0.889,0.923,0.95,0.97
"small","dep","linear",-0.000492964535607921,0.0598159597981493,0.0547299064211513,0.0593241214444578,0.865,0.892,0.917,0.949
"small","dep","poly",-0.00599909261070283,0.067312049714032,0.0611440280409459,0.066177517497756,0.861,0.89,0.919,0.948
"large","ind","linear",0.00064516389684076,0.0304199562465885,0.0305822622850132,0.0311434950655704,0.898,0.907,0.95,0.961
"large","ind","poly",-0.0013695383513116,0.0325277806082849,0.0311006171059063,0.0316803275482445,0.894,0.904,0.936,0.946
"large","dep","linear",0.00150576327323672,0.0312376199022114,0.0298224669494981,0.0303477093042771,0.887,0.885,0.933,0.938
"large","dep","poly",-0.00248476935461164,0.0327551436242203,0.0327000841163652,0.0332126065044499,0.898,0.902,0.943,0.949
