"DistanceToAirport","Precipitation","DistanceToMilitaryBase","DistanceToLandfill","DistanceToFedCWP","DistanceToAg","DistanceToChem","DistanceToRubber","DistanceToTextile","DistanceToApparel","DistanceToFnB","DistanceToFurniture","DistanceToLeather","DistanceToMachinery","DistanceToMiscellaneous","DistanceToPaper","DistanceToWood","SOCTonsPerHA","PopDen","STUSPS","Median.Earnings.Inflation.Adj.2020","Bachelor.Degree.Percent.2020","Bachelor.5Year.Change","Bachelor.10Year.Change","Earnings.5Year.Change","Earnings.10Year.Change","Longitude","Latitude"
11.8635024732241,665.82,12.2749546777284,11.0471671725774,12.3666942642385,11.2511170946624,11.1662230932419,11.2179174529051,12.1961679162896,12.4464422538228,11.7887919851496,11.9218068673377,12.2012296297735,10.8039475641455,10.7859896622831,11.8439041864487,10.7851869005484,439,1,"MN",0,0,0,0,0,0,-94.9999999997608,49.2916666666615
11.7139873497666,666.97,12.2367419880103,10.9111247969855,12.2555561333625,11.1452668457467,10.7329200980017,11.1570618172817,12.0958667936018,12.3487594377129,11.6886348188625,11.7483949044861,12.0773805650441,10.5536954255233,10.5468537730583,11.6948019987397,10.5408919873447,15,1,"MN",0,0,0,0,0,0,-94.8749999997598,49.0833333333265
10.5113463108276,1442.88,11.3510050886225,11.0259568797067,11.3292399593357,8.4583119947451,8.92614272406451,9.73855239060734,10.440819299502,11.9955037517932,8.70767136712032,10.0355358646329,11.5858461054461,9.8907843520536,10.4991173369059,10.5400028940144,8.84767693182885,128.5032959,71,"",0,0,0,0,0,0,-122.208333333311,49.0416666666595
11.6602105518093,1251.64,11.6601093146894,11.7008652784163,10.9511735602192,11.3490249091468,11.4422744735107,11.4989267231678,11.6781128297118,12.1513102281633,11.4344924699194,11.5786339205285,11.8360699351424,11.5295926284227,11.614000632405,11.4422744735107,11.2653884865212,92.7926178,1,"",0,0,0,0,0,0,-120.999999999968,49.0416666666595
11.7341953880418,1215.88,11.7076058600206,11.7018648104554,10.8035118954418,11.3007334461527,11.5186874594661,11.5853665170491,11.7517769241679,12.1772112134853,11.5285194543621,11.6600069688696,11.8782999937225,11.6147236247196,11.6904609236207,11.5186874594661,11.3433762350948,27,1,"",0,0,0,0,0,0,-120.874999999967,49.0416666666595
11.8681797254115,1363.04,11.8052363586827,11.5847106243644,10.4767152741736,11.1694534729812,11.5803484844974,11.7394331419543,11.8848941666197,12.2314449579642,11.5930188060987,11.8054731408008,11.9637967323545,11.5896398568608,11.6029491857909,11.6625128842896,11.3927330323093,81.41761017,1,"",0,0,0,0,0,0,-120.624999999965,49.0416666666595
12.0933077432962,971.17,11.997153290932,11.3672565054491,10.3323395337777,11.0003244300166,11.3135773675649,11.9496085150781,12.1080951116102,12.3447723179331,11.3394718559944,12.0455609397222,12.1309371407989,11.3585494004571,11.3385508381194,11.9127481577524,10.8728955181861,75.33882904,1,"",0,0,0,0,0,0,-120.124999999961,49.0416666666595
12.0374306965186,674.86,11.4753347723891,10.9059753035237,11.9021626300483,11.3083265128982,10.9034599277957,12.0423423798406,12.044719390412,12.6792933360668,11.6237398050493,12.0454201918566,12.0436479279347,11.0329418553708,11.5857714672738,10.8263016976188,10.7298950609805,59.87708282,1,"",0,0,0,0,0,0,-118.33333333328,49.0416666666595
12.0251709471496,601.75,11.4288113018641,10.8737693345475,11.9419730344488,11.3747670989611,10.9306095287172,12.0268165229507,12.0290691420708,12.6834372139797,11.6657622118012,12.0338782035474,12.0285868892494,10.9879605951696,11.6292946561574,10.7945197314805,10.6902600394849,62.50833511,1,"",0,0,0,0,0,0,-118.249999999946,49.0416666666595
11.9722464864733,844.17,11.1913503385792,10.927354750962,12.1370587723561,11.3611597444027,10.8749397200343,11.9447926966871,11.961443828096,12.7120174886234,11.8822891789113,11.962228843981,11.9648049441081,10.9146891293525,11.7256954486813,10.8593317548632,10.7964755462497,68.54403687,39,"",0,0,0,0,0,0,-117.791666666609,49.0416666666595
11.8433830063631,811.51,11.7858054053561,10.8716609769608,11.8775863217616,10.8298144714676,11.1587274056075,11.9899172681772,12.1439302538967,12.9126107485703,11.8905614939346,12.01179744352,12.1661739964842,11.5050313126197,12.0540026692621,11.8291250914349,10.7363995955649,49.38333511,1,"",0,0,0,0,0,0,-115.791666666593,49.0416666666595
11.752385272572,834.65,11.8401180807618,11.0767089981037,11.7768663320642,10.9675847316474,11.1804211489191,11.9888329820821,12.191761263212,12.9370792898508,11.8115514326945,12.0561747074798,12.2150485526271,11.5941067576993,12.1172988417408,11.91585486216,10.6051315507151,69.15908813,1,"",0,0,0,0,0,0,-115.583333333258,49.0416666666595
11.6776866791314,1110.82,11.8877782526681,11.1470527231212,11.6904650469292,11.0958955708385,11.1929699825488,11.9102752109899,12.2310649592914,12.9568055808661,11.7485878777413,12.0944085514797,12.2548670565766,11.6679966191421,12.1673460364596,11.9824579265494,10.2854389863569,70.70454407,1,"",0,0,0,0,0,0,-115.41666666659,49.0416666666595
11.6588821357685,1004.47,11.9001049737133,11.1547420170461,11.6678971898344,11.1284698768076,11.2004510433087,11.8896330790196,12.240980304332,12.9617523618163,11.7330412141271,12.1042544210261,12.2648731652691,11.6824586664688,12.1797349362421,11.9986977050917,10.1923596445342,71.71590424,20,"",0,0,0,0,0,0,-115.374999999923,49.0416666666595
12.2118422473156,308.94,12.1657986803803,11.0590490108903,12.1572500341874,12.1406016226047,11.0576721082752,12.3013785459761,13.2309718506852,13.5386741359515,12.1331158203537,13.1675918191572,13.2443489754752,12.1802430537444,12.322630142366,12.1904519102394,12.2625825607305,48.57143021,1,"",0,0,0,0,0,0,-109.99999999988,49.0416666666595
12.2436928413428,315.24,12.1962317965642,10.979585443719,12.1274964194025,12.165588032682,11.0583884736718,12.2925325846461,13.2519991650482,13.5535594749946,12.1669082578023,13.1899412335858,13.2601964881957,12.2125154924502,12.3134343737242,12.2222556295847,12.3073823899941,48.83516693,1,"",0,0,0,0,0,0,-109.833333333212,49.0416666666595
12.3815874986882,369.57,12.3327410015439,11.0620027940386,12.019786505811,12.2092457217414,11.3377122216104,12.2891309503251,13.3322362862282,13.61055109096,12.3146174796747,13.2749906678292,13.1792329534057,12.2891309503251,12.3072815593398,12.3611809014597,12.4772629775069,48.57143021,1,"",0,0,0,0,0,0,-109.16666666654,49.0416666666595
